लोग: लोग 
HMD: HMD
ऑफिसर: ऑफिसर
जुहो: जुह 
सरविकास: सरविकास
स्पोर्ट: स्पोर्ट
इंस्टॉल: इंस्टॉल
'बोथीज़': 'बोथीज़'
k: k
LCD: LCD
जिसपर: जिसपर
कॉर्निंग: कॉर्निंग
गोरिल्ला: गोरिल्ला 
ग्लास: ग्लास
प्रोटेक्शन: प्रोटेक्शन
युवाओं: युव 
जानी: जानी 
आयी: आयी 
ब्लॉग: ब्लॉग
'लाइव: 'लाइव
फ्रेंड': फ्रेंड'
मित्र: मित्र
हटाना: हटाना 
दोस्त: दोस्त
सकेगा: सकेगा 
फ्रेंड: फ्रेंड
एक्सेप्ट: एक्सेप्ट
दिखेगा: दिखेगा 
हटाने: हटाना 
जोड़ने: जोड़ना 
अधिकार: अधिकार 
छोड़कर: छोड़ 
टेक्नोलॉजीज़: टेक्नोलॉजीज़
Swipe: Swipe
Slate: Slate
एक्सक्लूसिव: एक्सक्लूसिव
चिंता: चिंता 
बिग: बिग
IPS: IPS
GHz: GHz
स्लेट: स्लेट
प्रो: प्रो 
मार्शमेलो: मार्शमेल 
कनेक्टिविटी: कनेक्टिविटी 
wifi: wifi
F: F
इंटेलीजेंस: इंटेलीजेंस
यूनिबॉडी: यूनिबॉडी 
फिलीपींस: फिलीपींस
HD+: HD+
×: ×
कर्व्ड: कर्व्ड
साथा: साथा 
गीगाहर्ट्ज़: गीगाहर्ट्ज़
मीडियाटेक: मीडियाटेक
हीलियो: हीलिय 
P: P
फिलीपीन: फिलीपीन
पेसो: पेस 
गोल्ड: गोल्ड
ब्लैक: ब्लैक
रेड: रेड
दिल्ली: दिल्ली 
मेट्रो: मेट्र 
यात्रियों: यात्री 
डीएमआरसी: डीएमआरसी 
प्रवेश: प्रवेश
निकासी: निकासी 
फेयर: फेयर
कलेक्शन: कलेक्शन
AFC: AFC
गेट्स: गेट्स
लागू: लाग 
गेट: गेट
खुले: खुला 
रहेंगे: रहेंगा 
बढ़ोतरी: बढ़ोतरी 
स्टेशनों: स्टेशन 
तकरीबन: तकरीबन
निकलते: निकलता 
बढ़कर: बढ़ 
स्टेशनो: स्टेशन 
निकास: निकास
टोकन/मेट्रो: टोकन/मेट्र 
खुलते: खुलता 
यात्री: यात्री 
परिस्थिति: परिस्थित 
कराए: कर 
गुजरने: गुजरना 
लगने: लगना 
बचेगा: बचेगा 
निकल: निकल
पीक: पीक
भीड़: भीड़
हद: हद
लाई: ल 
सकेगी: सकेगी 
सामान: सामान
डिलिवरी: डिलिवरी 
'Amazon: 'Amazon
key': key'
पर्सन: पर्सन
ताला: ताला 
खोलकर: खोल 
अंदर: अंदर 
रखेगा: रखेगा 
सिक्योर: सिक्योर
प्राइम: प्राइम
keys: keys
घरों: घर 
जाएंगे: जाएंगा 
इजाज़त: इजाज़त
मॉनिटर: मॉनिटर
कनेक्टेड: कनेक्टेड
camera: camera
जुड़ा: जुड़ा 
पाएगा: पाएगा 
डिलिवर: डिलिवर
भेजा: भेजा 
नोटिफिकेशन: नोटिफिकेशन
ऑप्शन्स: ऑप्शन्स
सेलेक्ट: सेलेक्ट
ऑप्शंस: ऑप्शंस
'Live': 'Live'
अचानक: अचानक
मूवी: मूवी 
डॉक्यूमेंट: डॉक्यूमेंट
पड़: पड़
साथी: साथी 
हाथ: हाथ 
कितना: कितना 
लें: ल 
गलती: गलती 
खो: ख 
चुनें: चुन 
बिट: बिट
लॉकर: लॉ 
एनक्रिप्शन: एनक्रिप्शन
BitLocker: BitLocker
Drive: Drive
Encryption: Encryption
चुनने: चुनना 
सके: सके 
अगली: अगली 
विंडो: विंड 
हाई: हाई 
एंटर: एंटर
भूल: भूल
जाते: जाता 
प्रिंट: प्रिंट
फाइल: फाइल
सेव: सेव
चुनकर: चुन 
गैजेट: गैजेट
कोनिका: कोनिका 
मिनोल्टा: मिनोल्टा 
प्रोडक्शन: प्रोडक्शन
रेंज: रेंज
'सिंपली: 'सिंपली 
एफीशिएंट': एफीशिएंट'
एक्यूरियो: एक्यूरिय 
C: C
बेहद: बेहद
प्रतिक्रियाशील: प्रतिक्रियाशील
रूम: रूम
एनवायरमेंट: एनवायरमेंट
देगी: देगी 
पीपीएम: पीपीएम
अनुकूल: अनुकूल
मात्रा: मात्रा 
लेना: लेना 
/सी: /सी 
स्यूट: स्यूट
टूल: टूल
मॉड्यूलर: मॉड्यूलर
फ्लो: फ्ल 
बनाती: बनाती 
एफीशिएंट: एफीशिएंट
क्वॉलिटी: क्वॉलिटी 
फायदेमंद: फायदेमंद
योशीनोरी: योशीनोरी 
कोइडो: कोइड 
सिंपली: सिंपली 
ग्राफिक: ग्राफिक
प्रदाताओं: प्रदात प्रदा 
सीआरडी: सीआरडी 
अपटाइम: अपटाइम
भरोसे: भरोसा 
उच्च: उच्च 
गुणवत्ता: गुणवत्ता 
प्रिंटेड: प्रिंटेड
कराएंगे: कराएंगा 
‘डिलीट: ‘डिलीट
फॉर: फॉर 
एवरीवन’: एवरीवन’
तस्वीरों: तस्वीर 
विंडोज: विंडोज
सात: सात
इंसानों: इंसान 
सोफिया: सोफिया 
सऊदी: सऊदी 
नागरिकता: नागरिकता 
रोबोट्स: रोबोट्स
मुल्क: मुल्क
राजधानी: राजधानी 
रियाद: रियाद
फ्यूचर: फ्यूचर
इनवेस्टमेंट: इनवेस्टमेंट
स्टेज: स्टेज
प्रेजेंटेशन: प्रेजेंटेशन
दर्शकों: दर्शक 
'इस: 'इस
विशेष: विशेष
सम्मान: सम्मान
पाकर: पा प 
मैं: मैं 
गौरवान्वित: गौरवान्वित
हूं: हूं 
पहचाना: पहचाना 
ऐतिहासिक: ऐतिहासिक
हैनसन: हैनसन
हांगकांग: हांगकांग
रोबोटिक्स: रोबोटिक्स
हॉलीवुड: हॉलीवुड
अभिनेत्री: अभिनेत्री 
आड्री: आड्री 
हेपबर्न: हेपबर्न
वजूद: वजूद
बनने: बनना 
चिंताओं: चिं चिंत 
सीएनबीसी: सीएनबीसी 
एंड्रयू: एंड्रय 
रॉस: रॉस
सॉर्किन: सॉर्किन
'वह: 'वह
तारीफ: तारीफ
बुरे: बुरा 
रोकना: रोकना 
टेक: टेक
बिलेनियर: बिलेनियर
एलन: एलन
मस्क: मस्क
चेताते: चेताता 
'आप: 'आप
पढ़: पढ़
फिल्में: फिल्म 
बर्ताव: बर्ताव
व्यवहार: व्यवहार
रहेगा: रहेगा 
इनपुट: इनपुट
आउटपुट: आउटपुट
फैलने: फैलना 
सवाल: सवाल 
महिलाओं: महिलाओं 
स्कार्फ: स्कार्फ
अंग्रेजी: अंग्रेजी 
कॉन्फ्रेंस: कॉन्फ्रेंस
संबोधित: संबोधित
फिलिप्स: फिलिप्स
Philips: Philips
gizmochina: gizmochina
गीगाहर्ट्ज: गीगाहर्ट्ज
आॅक्टाकोर: आॅक्टाकोर
नींदरलैंड: नींदरलैंड
एलटीई: एलटीई
वाईफाई: वाईफ 
जीपीएस: जीपीएस
वैरियंट: वैरियंट
कीनेक्ट: कीनेक्ट
आखिरकार: आखिरकार
डेप्थ: डेप्थ
माइक्रोफोन: माइक्रोफोन
एक्सेसरी: एक्सेसरी 
एक्सबॉक्स: एक्सबॉक्स
बिकने: बिकना 
द: द 
वर्ज: वर्ज
आनेवाले: आनेवाला 
विभिन्न: विभिन्न
अनुभवों: अनुभव 
शरीर: शरीर
गति: गत 
आसपास: आसपास
गहराई: गहर 
लगाने: लगाना 
उतारा: उतारा 
उम्मीदों: उम्मीद 
खरा: खरा 
उतरा: उतरा 
बावजूद: बावजूद
'कीनेक्ट: 'कीनेक्ट
तकनीकों: तकनीक 
होलो: होल 
लैपटॉप: लैपटॉप
चेहरा: चेहरा 
आधे: आधा 
आउट: आउट
स्टॉक: स्टॉक
ऑर्डर: ऑर्डर
आंकड़ा: आंकड़ा 
पार: पार 
Phone: Phone
ऑस्ट्रेलिया: ऑस्ट्रेलिया 
ऑस्ट्रिया: ऑस्ट्रिया 
बेल्जियम: बेल्जियम
कनाडा: कनाडा 
डेनमार्क: डेनमार्क
फिनलैंड: फिनलैंड
जर्मनी: जर्मनी 
जापान: जापान
इटली: इटली 
पोलैंड: पोलैंड
देशो: देश 
सस्ते: सस्ता 
छोड़: छोड़
दबदबा: दबदबा 
कायम: कायम
गिरावट: गिरावट
ग्रोथ: ग्रोथ
शक्तिशाली: शक्तिशाली 
पछाड़: पछाड़
एनालिस्ट: एनालिस्ट
फर्म: फर्म
Canalys: Canalys
रिकवरी: रिकवरी 
शिपमेंट: शिपमेंट
हासिल: हासिल
बेंडरों: बेंडर 
इजाफा: इजाफा 
ओपो: ओप 
लेनेवो: लेनेव 
विवो: विव 
बेचे: बेचा 
तिसरे: तिसरा 
राष्ट्रपति: राष्ट्रपति 
डोनाल्ड: डोनाल्ड
ट्रंप: ट्रंप
प्रशासन: प्रशासन
राज्य: राज्य 
राज्यों: राज्यों 
सरकारों: सरकार 
उल्लेखनीय: उल्लेखनीय
हिल: हिल
पत्रिका: पत्रिका 
ज्ञापन: ज्ञापन
समझौते: समझौता 
हस्ताक्षर: हस्ताक्षर
फेडरल: फेडरल
एविएशन: एविएशन
एडमिनस्ट्रेशन: एडमिनस्ट्रेशन
बतौर: बतौर
पायलट: पायलट
प्रोग्राम: प्रोग्राम
स्थानीय: स्थानीय
बस्तियों: बस्ती 
प्रस्तावित: प्रस्तावित
ड्रोन: ड्रोन
संचालन: संचालन
निर्देश: निर्देश
उड़ाने: उड़ाना 
रात: रात
दृष्टिरेखा: दृष्टिरेखा 
परे: परा 
उड़ान: उड़ान
प्रतिबंधित: प्रतिबंधित
प्रस्ताव: प्रस्ताव 
मंजूरी: मंजूरी 
एफएए: एफएए
अधिकारियों: अधिकारियों 
छूट: छूट
संघीय: संघीय
नीति: नीत 
सूचित: सूचित
कार्यो: कार्य 
परीक्षण: परीक्षण
कबायली: कबायली 
क्षेत्राधिकार: क्षेत्राधिकार
मानव: मानव 
रहित: रहित
विमान: विमान 
नवाचार: नवाचार
प्रतिरोध: प्रतिरोध
आते: आता 
परेशान: परेशान
पब्लिक: पब्लिक
Wi: Wi
Fi: Fi
लैंडलाइन: लैंडलाइन
टेलीफोनी: टेलीफोनी 
संभव: संभव
रेगुलेटर: रेगुलेटर
ट्राई: ट्र 
विरोध: विरोध
खासतौर: खासतौर
स्थितियों: स्थिती 
लाभदायक: लाभदायक
परंपरागत: परंपरागत
कमजोर: कमजोर
रहता: रहता 
रेगुलेटरी: रेगुलेटरी 
फ्रेमवर्क: फ्रेमवर्क
सिफारिश: सिफारिश 
लाइसेंसिग: लाइसेंसिग
स्वतंत्र: स्वतंत्र
सुविधाजनक: सुविधाजनक
सक्सेस: सक्सेस
रेट: रेट
असहमति: असहमत 
रेवन्यू: रेवन्य 
बुरा: बुरा 
प्रभाव: प्रभाव
पड़ेगा: पड़ेगा 
ऑपरेटर्स: ऑपरेटर्स
पहुंचाएगा: पहुंचाएगा 
ट्रैफिक: ट्रैफिक
शिफ्ट: शिफ्ट
टैबलेट्स: टैबलेट्स
बढ़ने: बढ़ना 
एसएमएस: एसएमएस
लावा: लावा 
मिलाने: मिलाना 
कार्बन: कार्बन
मिलकर: मिल 
हाालांकि: हाालांक 
Karbonn: Karbonn
फ्री: फ्री 
Pixel: Pixel
XL: XL
मात्र: मात्र
चलाया: चलाया 
पिक्सेल: पिक्सेल
IP: IP
वॉटर: वॉटर
प्रूफ: प्रूफ
रेटिंग: रेटिंग
धूल: धूल
मिट्टी: मिट्टी 
किंडा: किंडा 
ब्लू: ब्ल 
डस्ट: डस्ट
क्लियर: क्लियर
वाइट: वाइट
बॉटम: बॉटम
सर्च: सर्च
एचडी: एचडी 
क्वॉलकॉम: क्वॉलकॉम
मेगा: मेगा 
कोटिंग: कोटिंग
जस्ट: जस्ट
ऐंड: ऐंड
Moto: Moto
Z: Z
चाइना: चाइना 
देखें: देख 
Force: Force
बैक: बैक
मोटो: मोट 
शैटरशील्ड: शैटरशील्ड
ब्रश्ड: ब्रश्ड
बेक: बेक
चारों: चार 
ऐन्टेना: ऐन्टेना 
रिडिजाइन: रिडिजाइन
मॉड: मॉड
कनेक्टर: कनेक्टर
पिंस: पिंस
UFS: UFS
सेटअप: सेटअप
IMX: IMX
मोनोक्रोम+RGB: मोनोक्रोम+RGB
टर्बोपॉवर: टर्बोपॉवर
एंड्राएड: एंड्राएड
Kingsman: Kingsman
VIP: VIP
स्पेशल: स्पेशल
एडीशन: एडीशन
ब्रीफकेस: ब्रीफकेस
बॉक्स: बॉक्स
युआन: युआन
प्रोवाइडर्स: प्रोवाइडर्स
आइडिया: आइडिया 
वोडाफोन: वोडाफोन
अनलिमिटेड: अनलिमिटेड
लोकल: लोकल
STD: STD
वैलिडिटी: वैलिडिटी 
Vodafone: Vodafone
महीनों: महीनों 
फायदा: फायदा 
Gizmochine: Gizmochine
OnePlus: OnePlus
मार्ट: मार्ट
ऑप्टिक: ऑप्टिक
एमोलेड: एमोलेड
प्रोटेक्ट: प्रोटेक्ट
तस्वीरें: तस्वीर 
फिंगरप्रिंट: फिंगरप्रिंट
बेजल: बेजल
लैस: लैस
एचटीसी: एचटीसी 
HTC: HTC
U: U
बारें: बार 
अपग्रेडेड: अपग्रेडेड
स्कैनर: स्कैनर
टिप्सटर: टिप्सटर
Evan: Evan
Blass‏: Blass‏
Ocean: Ocean
Master: Master
WQHD+: WQHD+
एक्सपेक्ट: एक्सपेक्ट
ब्लास: ब्लास
वेरियंट: वेरियंट
क्विक: क्विक
गैलेक्सी: गैलेक्सी 
लकी: लकी 
पैसेंजर्स: पैसेंजर्स
Iberia: Iberia
Airlines: Airlines
फ्लाइट: फ्लाइट
IB: IB
यात्रा: यात्रा 
La: La
Coruña: Coruña
मेड्रिड: मेड्रिड
बाराजास: बाराजास
उड़ान: उड़ान
भरने: भरना 
मुफ्त: मुफ्त
आयोजित: आयोजित
Giveaway: Giveaway
डोमेस्टिक: डोमेस्टिक
अटेंडेंट: अटेंडेंट
ट्रे: ट्रा 
सर्व: सर्व
‘एक: ‘एक
स्वागत: स्वागत
हैं’: हैं’ 
आग: आग
छवि: छव 
सुधारना: सुधारना 
ख्याल: ख्याल
डेली: डेली 
Titanium: Titanium
Jumbo: Jumbo
शैंपेन: शैंपेन
एचजी: एचजी 
आईपीएस: आईपीएस
ओटीजी: ओटीजी 
ए/जीपीएस: ए/जीपीएस
सिम: सिम
हॉटस्पॉट: हॉटस्पॉट
Essential: Essential
बनाना: बनाना 
इसेंसल: इसेंसल
समर्थकों: समर्थक 
शुक्रिया: शुक्रिया 
इसेंशियल: इसेंशियल
खरीदारी: खरीदारी 
कोड: कोड 
टेकक्रंच: टेकक्रंच
हों: ह 
प्रशंसा: प्रशंसा 
मूल्य: मूल्य
बूते: बूता 
टिक: टिक
डिग्री: डिग्री 
LTPS: LTPS
एस्पेक्ट: एस्पेक्ट
Adreno: Adreno
GPU: GPU
नॉर्थ: नॉर्थ
कोरिया: कोरिया 
आर्मी: आर्मी 
सरजमीं: सरजम 
स्टूडेंट: स्टूडेंट
अच्छी: अच्छी 
खासी: खासी 
स्टूडेंट्स: स्टूडेंट्स
नौकरी: नौकरी 
सरजमी: सरजमी 
न्यूजीलैंड: न्यूजीलैंड
नेपाल: नेपाल
केन्या: केन्या 
इंडोनेशिया: इंडोनेशिया 
वर्चुअल: वर्चुअल
प्रजेंस: प्रजेंस
दिखाकर: दिख दिखा 
लोकेशन: लोकेशन
बदलकर: बदल 
दिखा: दिखा 
डिप्लोमैटिक: डिप्लोमैटिक
रिलेशन: रिलेशन
व्यापार: व्यापार
छात्रों: छात्र 
इंस्टीट्यूट: इंस्टीट्यूट 
अप्रैल: अप्रैल 
Kaspersky: Kaspersky
Lab: Lab
Lazarus: Lazarus
सीधे: सीधा 
संबंधों: संबंध 
खूंखार: खूंखार
हैकिंग: हैकिंग
वानाक्राई: वानाक्र 
हमलों: हमल 
जिम्मेदार: जिम्मेदार
ठहराया: ठहराया 
कपंनियों: कपंनी 
निशाना: निशाना 
इंडेक्स: इंडेक्स
रफ्तार: रफ्तार
स्पीड: स्पीड
औसतन: औसतन
mbps: mbps
वें: व 
नम्बर: नम्बर
फिक्स्ड: फिक्स्ड
ब्रॉडबैंड: ब्रॉडबैंड
थोड़े: थोड़ा 
पायदान: पायदान
सीरिया: सीरिया 
गृहयुद्ध: गृहयुद्ध
इन्फ्रास्ट्रक्चर: इन्फ्रास्ट्रक्चर
ध्वस्त: ध्वस्त
पाकिस्तान: पाकिस्तान 
श्रीलंका: श्रीलंका 
इराक: इराक 
स्लो: स्ल 
Mbps: Mbps
नार्वे: नार्वा 
तेज: तेज
स्लोवेस्ट: स्लोवेस्ट
वेनेजुएला: वेनेजुएला 
mbpsके: mbpsका 
पवन: पवन
दुग्गल: दुग्गल
इंफ्रास्ट्रक्चर: इंफ्रास्ट्रक्चर
धीमी: धीमी 
पिछड़ते: पिछड़ता 
सपना: सपना 
हवाई: हव 
किला: किला 
रह: रह
माइक्रोमैक्स: माइक्रोमैक्स
ऑपरेटर: ऑपरेटर
Bharat: Bharat
Ultra: Ultra
बायर्स: बायर्स
न्यूनतम: न्यूनतम
नंबर्स: नंबर्स
बायर: बायर
'M: 'M
Pesa': Pesa'
वॉलेट: वॉलेट
इफेक्टिव: इफेक्टिव
प्राइस: प्राइस
राहुल: राहुल 
सुपीरियर: सुपीरियर
उसी: उसी 
मिसाल: मिसाल
स्प्रेडट्रम: स्प्रेडट्रम
SC: SC
क्वॉड: क्वॉड
MB: MB
WVGA: WVGA
MP: MP
फेसिंग: फेसिंग
मॉर्शमैलो: मॉर्शमैल 
OS: OS
स्टोर्स: स्टोर्स
रेडमी: रेडमी 
सफलता: सफलता 
लहर: लहर
सवार: सवार
वित्तवर्ष: वित्तवर्ष
काउंटरप्वाइंट: काउंटरप्वाइंट
हिस्सेदारी: हिस्सेदारी 
मॉडल: मॉडल
बिकनेवाला: बिकनेवाला 
शीर्ष: शीर्ष 
एसोसिएट: एसोसिएट
तरुण: तरुण
पाठक: पाठक
तथ्य: तथ्य 
मध्य: मध्य
मध्यम: मध्यम
खंड: खंड
पकड़ना: पकड़ना 
पहुंचा: पहुंचा 
गंवाए: गंव 
वीवो: वीव 
क्रमश: क्रमश
ऐज: ऐज
ओलईडी: ओलईडी 
bit: bit
M: M
मोशन: मोशन
रिकग्निशन: रिकग्निशन
इन्फ्रारेड: इन्फ्रारेड
अंधेरे: अंधेरा 
फास्ट: फास्ट
इसमे: इसमा 
एनिमेटेड: एनिमेटेड
एक्सप्रेशन: एक्सप्रेशन
फॉर्म: फॉर्म
सिंतबर: सिंतबर
हालही: हालही 
नेक्स्ट: नेक्स्ट
जनरेशन: जनरेशन
अफोर्डेबल: अफोर्डेबल
ऐपल: ऐपल
face: face
id: id
UI: UI
नेविगेशन: नेविगेशन
खूशी: खूशी 
Androidauthority: Androidauthority
Weibo: Weibo
तस्वीर: तस्वीर
इसस: इसस
अफवाह: अफवाह
इंतज़ार: इंतज़ार
खबरों: खबर 
Redmi: Redmi
व्हाइट: व्हाइट 
बेज़ल: बेज़ल
मेन्यू: मेन्य 
सीपीयू: सीपीय 
आएंगे: आएंगा 
ऑफिशियल: ऑफिशियल
केनेक्टिविटी: केनेक्टिविटी 
शिपिंग: शिपिंग
भेजना: भेजना 
लॉन्चिंग: लॉन्चिंग
युवान: युवान
मैमोरी: मैमोरी 
बोथी: बोथी 
खींची: खींची 
एंड्राइड: एंड्राइड
भेजते: भेजता 
बातें: बात 
सुन: सुन
TickleMyPhone: TickleMyPhone
ट्रू: ट्र 
भेजेंगे: भेजेंगा 
उसमें: उसम 
इन्स्टॉल: इन्स्टॉल
होना: होना 
मंगवा: मंगवा 
इकलेयर: इकलेयर
पेड: पेड
गेटवे: गेटवा 
पेपाल: पेपाल
कराएगा: कराएगा 
चाहे: चाहा 
कैब: कैब
सैर: सैर
सपाटे: सपाटा 
मौज: मौज
मस्ती: मस्ती 
बांटना: बांटना 
हिस्से: हिस्सा 
किराए: किर 
मां: म 
खरीदे: खरीदा 
उपहार: उपहार
बहनों: बहन 
धन: धन 
पेपल: पेपल
पीयर: पीयर
पी: पी 
अकेले: अकेला 
वोल्यूम: वोल्यूम
साधन: साधन
मैसेंजर्स: मैसेंजर्स
वॉट्सएप: वॉट्सएप
एडमिन: एडमिन
चुन: चुन
ऑयकन: ऑयकन
Wabetainfo: Wabetainfo
फैन: फैन
वॉट्सऐप: वॉट्सऐप
मैसेंजिंग: मैसेंजिंग
रिमूव: रिमूव
दिये: दिये 
डिस्क्रिप्शन: डिस्क्रिप्शन
रिपोर्टों: रिपोर्ट 
अनसेंड: अनसेंड
डब्ल्यूएबीटाइंपो: डब्ल्यूएबीटाइंप 
'डिलिट: 'डिलिट
एवरीवन': एवरीवन'
शॉर्ट: शॉर्ट
टर्म: टर्म
रियल: रियल
जुटे: जुटा 
तुरंत: तुरंत
जानेवाली: जानेवाली 
प्रतिबद्ध: प्रतिबद्ध
नियमित: नियमित
प्रगति: प्रगत 
वीं: व 
सदी: सदी 
खोजी: खोजी 
नैन: नैन
रावत: रावत
उपलब्धियों: उपलब्धी 
जश्न: जश्न
मनाया: मनाया 
तिब्बत: तिब्बत 
सर्वेक्षण: सर्वेक्षण
तिब्बती: तिब्बती 
भिक्षु: भिक्ष 
कुमाऊं: कुमाऊं
काठमांडू: काठमांडू 
ल्हासा: ल्हासा 
तवांग: तवांग
ब्रिटिश: ब्रिटिश
शताब्दी: शताब्दी 
नक्शा: नक्शा 
यूरोपीय: यूरोपीय
भौगोलिक: भौगोलिक
अंवेषण: अंवेषण
प्रशिक्षित: प्रशिक्षित
शिक्षित: शिक्षित
बहादुर: बहादुर
पुरुषों: पुरुष 
सटीक: सटीक
ऊंचाई: ऊंच 
निर्धारित: निर्धारित
त्सांगपो: त्सांगप 
थोक: थोक
जालुंग: जालुंग
सोने: सोना 
खदानों: खदान 
माप: माप
बनाए: बन 
चरणों: चरण 
मील: मील
माला: माला 
मापा: मापा 
प्रार्थना: प्रार्थना 
चक्र: चक्र 
कौड़ी: कौड़ी 
कंपास: कंपास
छिपाया: छिपाया 
भ्रम: भ्रम
डाले: डाला 
चित्रित: चित्रित
साहसी: साहसी 
औ: औ
लाठी: लाठी 
मंगल: मंगल
ग्रह: ग्रह
अज्ञात: अज्ञात
इलाकों: इलाक 
उत्सुक: उत्सुक
आभासी: आभासी 
क्यूरिओसिटी: क्यूरिओसिटी 
रोवल: रोवल
वीडियों: वीडी 
करवाई: करव 
लैब: लैब
इंटरैक्टिव: इंटरैक्टिव
प्रोड्यूशर: प्रोड्यूशर
रेयान: रेयान
बुर्क: बुर्क
बेववीआर: बेववीआर
इंस्लाट: इंस्लाट
ब्राउसर: ब्राउसर
वास्तविकता: वास्तविकता 
रियलिटी: रियलिटी 
हेडसेट: हेडसेट
जेट: जेट
प्रोप्लसन: प्रोप्लसन
लेबोरेटरी: लेबोरेटरी 
ऑनसाइट: ऑनसाइट
निर्मित: निर्मित
वैज्ञानिकों: वैज्ञानिक 
रोवर: रोवर
बैठकें: बैठक 
भागीदारी: भागीदारी 
जेपीएल: जेपीएल
ओपीएस: ओपीएस
विक्टर: विक्टर
लू: ल 
VR: VR
रोजाना: रोजाना 
Windows: Windows
'फॉल: 'फॉल
क्रियेटर्स: क्रियेटर्स
अपडेट': अपडेट'
इंतजार: इंतजार
स्वचालित: स्वचालित
'विंडोज: 'विंडोज
उत्पादकता: उत्पादकता 
जोड़े: जोड़ा 
अस्सिटेंस: अस्सिटेंस
कोर्टाना: कोर्टाना 
वेब: वेब
फोटोज: फोटोज
बनाएगा: बनाएगा 
मिक्सड: मिक्सड
MR: MR
मैनुअली: मैनुअली 
सोना: सोना 
बेचा: बेचा 
धनतेरस: धनतेरस
खरीदारों: खरीदार 
गयी: गयी 
प्रतिशत: प्रतिशत 
‘‘पेटीएम: ‘‘पेटीएम
तमिलनाडु: तमिलनाड 
कर्नाटक: कर्नाटक 
आंध्र: आंध्र
प्रदेश: प्रदेश 
झारखंड: झारखंड
पश्चिम: पश्चिम
बंगाल: बंगाल 
अधिकांश: अधिकांश
’’: ’’
वरिष्ठ: वरिष्ठ
उपाध्यक्ष: उपाध्यक्ष 
नितिन: नितिन
मिश्रा: मिश्रा 
‘‘सोना: ‘‘सोना 
जरूरतों: जरूरत 
अवसर: अवसर 
विश्वसनीय: विश्वसनीय
कोने: कोना 
उपभोक्ता: उपभोक्ता 
फेस्टिवल: फेस्टिवल
सीजन: सीजन 
आइटम्स: आइटम्स
सर्वे: सर्वा 
कस्बों: कस्ब 
रिटेलर्स: रिटेलर्स
एनालिस्ट्स: एनालिस्ट्स
कैटेगरी: कैटेगरी 
एनालिस्टों: एनालिस्ट 
'टियर: 'टियर
टियर: टियर
जिन्हें: जिन्हें 
ग्रॉस: ग्रॉस
मर्चेंडाइज: मर्चेंडाइज
वैल्यू: वैल्य 
बढ़ी: बढ़ी 
क्वॉर्टर: क्वॉर्टर
फेस्टिव: फेस्टिव
परचेज: परचेज
प्लेटफॉ़र्म्स: प्लेटफॉ़र्म्स
नो: न 
EMI: EMI
एश्योर्ड: एश्योर्ड
बायबैक: बायबैक
बढ़ा: बढ़ा 
डेस्कटॉप: डेस्कटॉप
'एक्सप्लोर: 'एक्सप्लोर
फीड': फीड'
पेजों: पेज 
कंटेंट: कंटेंट
फीड: फीड
फॉलो: फॉल 
वैकल्पिक: वैकल्पिक
बायीं: बाय 
साइड: साइड
'एक्सप्लोलर': 'एक्सप्लोलर'
लिंक: लिंक
'इवेंट्स': 'इवेंट्स'
'ग्रुप्स': 'ग्रुप्स'
'पेजेस': 'पेजेस'
'मोमेंट्स': 'मोमेंट्स'
'सेव्ड: 'सेव्ड
आइटम्स': आइटम्स'
वैसी: वैसी 
लाइक: लाइक
जेडटीई: जेडटीई
फोल्डेबल: फोल्डेबल
एक्सॉन: एक्सॉन
एम: एम 
मिलाकर: मिला मिल 
यूनीक: यूनीक
मोड्स: मोड्स
ZTE: ZTE
Axon: Axon
निभाएगा: निभाएगा 
घड़ी: घड़ी 
बचाई: बच 
जान: जान
थोड़ा: थोड़ा 
अटपटा: अटपटा 
हकीकत: हकीकत
वॉच: वॉच
बचा: बचा 
जेम्स: जेम्स
ग्रीन: ग्रीन
फेफड़ों: फेफड़ 
ब्लड: ब्लड
क्लॉट: क्लॉट
संकेतों: संकेत 
मेडिकल: मेडिकल
अटेंशन: अटेंशन
अलर्ट: अलर्ट
HeartWatch: HeartWatch
app: app
हार्ट: हार्ट 
दिल: दिल 
धड़कन: धड़कन
निश्चित: निश्चित
सीमा: सीमा 
'मैंने: 'मैंना 
रिस्ट: रिस्ट
कंप्यूटर: कंप्यूटर
मेरी: मेरी 
मैंने: मैंने 
संकेत: संकेत
बीट्स: बीट्स
लक्षणों: लक्षण 
मैने: मैना 
पैनिक: पैनिक
चीज: चीज
हॉस्पिटल: हॉस्पिटल
पहुंचे: पहुंचा 
CT: CT
स्कैन: स्कैन
फेफड़े: फेफड़ा 
डॉक्टरों: डॉक्टर 
तत्काल: तत्काल
जानलेवा: जानलेवा 
मॉनिटर्स: मॉनिटर्स
ट्रैकर्स: ट्रैकर्स
वॉचेज: वॉचेज
ट्रैक: ट्रैक 
हेल्थ: हेल्थ
एक्सपर्ट्स: एक्सपर्ट्स
अप्रूव्ड: अप्रूव्ड
इनका: इनका 
कॉर्डियोवैस्कुलर: कॉर्डियोवैस्कुलर
कंडीशंस: कंडीशंस
Huawei: Huawei
Mate: Mate
Lite: Lite
किरिन: किरिन
प्रेस्टीज: प्रेस्टीज
ग्रेफाइट: ग्रेफाइट
ऑरोरा: ऑरोरा 
माइक्रएसडी: माइक्रएसडी 
